Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Big Ben Interactive,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.14,,,,0.16,0.9700000000000001,,0.9800000000000001,,1.0,,,,,
Big Fish Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.05,,,,
Bigben Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400000000000001,,,
Black Bean Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.12000000000000001,0.71,1.04,2.24,2.87,,,,,,,
Black Label Games,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
Blast! Entertainment Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.38,,,,,,,,,
Blue Byte,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
Bohemia Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,
Bomb,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boost On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
Brash Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21000000000000002,1.23,,,,,,,,,,
Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.1,0.13,0.17,0.19,0.44,0.54,0.8,,0.9,0.9600000000000001,,
BushiRoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,
CBS Electronics,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCP,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,
CDV Software Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.12,0.16999999999999998,,0.19999999999999998,,,,,,,
CPG Products,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTO SpA,,,,,,,,,,,,,,,,,0.88,0.9,,,,,,,,,,,,,,,,,,,,,
Capcom,,,,,,1.0,6.3,7.109999999999999,10.049999999999999,11.719999999999999,15.639999999999999,17.869999999999997,30.269999999999996,35.12,35.279999999999994,,36.62,39.9,43.64,44.52,46.540000000000006,54.49000000000001,64.34,73.47,80.33,93.6,105.0,114.92,128.24,147.71,162.09,169.56,184.24,191.87,192.19,197.82999999999998,199.95,,
Cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.13,0.2,0.3,0.32,0.33,,,,,
ChunSoft,,,,,,,,,,,,,0.16,0.9400000000000001,1.75,2.15,2.42,,2.51,2.6799999999999997,3.05,,3.4099999999999997,,,,3.4399999999999995,,,3.8699999999999997,3.9099999999999997,4.01,4.069999999999999,,,,,,
City Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.94,2.8099999999999996,3.8599999999999994,,4.51,4.58,,,,
Cloud Imperium Games Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,
Coconuts Japan,,,,,,,,,,,,,,0.05,,,0.07,,,,,,,,,,,,,,,,,,,,,,
Codemasters,,,,,,,,,,,,,,,,,,2.38,7.96,8.57,9.59,11.18,12.959999999999999,15.35,16.32,17.11,17.34,20.41,23.86,32.29,34.93,40.27,43.080000000000005,44.790000000000006,45.980000000000004,46.93000000000001,47.77000000000001,,
Codemasters Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
CokeM Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,
Coleco,,2.7899999999999996,3.0599999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.13,0.15,,,,,
Commseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
Compile,,,,,,,,,,,,,,,,0.47,0.49,2.4299999999999997,2.4599999999999995,,,,,,,,,,,,,,,,,,,,
Compile Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.21000000000000002,0.47000000000000003,0.56,0.79,1.01,1.24,1.35,1.37,,
Conspiracy Entertainment,,,,,,,,,,,,,,,,,,,,,,0.29000000000000004,0.32000000000000006,,,,,0.39000000000000007,0.54,0.61,0.84,,,,,,,,
Core Design Ltd.,,,,,,,,,,,,,,,0.19,0.29000000000000004,,,,,,,,,,,,,,,,,,,,,,,
Crave Entertainment,,,,,,,,,,,,,,,,,,,0.37,1.2400000000000002,3.68,,4.1000000000000005,4.170000000000001,5.370000000000001,6.060000000000001,6.360000000000001,6.790000000000001,7.320000000000001,7.8900000000000015,8.600000000000001,9.930000000000001,,,,,,,
Creative Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06999999999999999,0.09999999999999999,,,,,,,,,
Crimson Cow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.08,,,,,,,
Crystal Dynamics,,,,,,,,,,,,,,,,1.12,1.71,,,,,,,,,,,,,,,,,,,,,,
Culture Brain,,,,,,,,,,,,0.2,,,0.23,,,,,,,,,,,,,,0.25,,0.27,,,,,,,,
Culture Publishers,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
CyberFront,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,0.08,0.19,0.21,0.24,0.27,,,,,
Cygames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
D3Publisher,,,,,,,,,,,,,,,,,,,1.06,,1.1300000000000001,1.7500000000000002,,,,2.14,3.5100000000000007,9.819999999999997,11.849999999999996,15.659999999999993,20.21999999999999,22.109999999999992,22.39999999999999,23.68999999999999,23.76999999999999,23.97999999999999,24.059999999999988,,
DHM Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999999,,0.18,,,,,,,,,
DSI Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.21000000000000002,0.26,0.35,,,,,,,,,,
DTP Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,0.25,1.1400000000000001,2.1500000000000004,2.5600000000000005,3.5100000000000007,3.5700000000000007,,,,,,
Daedalic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.13,,0.28,,,,,,
Daedalic Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.14,,,,,
Daito,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999998,,,,,,,,,,,,
Data Age,,0.39,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Design Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.22,0.29000000000000004,,,,,,,,,
Data East,,,,,,,,,,,,,,,,0.04,,,0.15,,,,,,,,,,,,,,,,,,,,
Datam Polystar,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.03,,,,,,,,,,,
Deep Silver,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.57,0.9199999999999999,0.94,3.849999999999999,6.399999999999999,8.41,15.049999999999999,15.69,21.72,23.61,24.62,25.59,,
"Destination Software, Inc",,,,,,,,,,,,,,,,,,,,,,0.13,0.15,0.2,0.24000000000000002,0.32,0.38,0.75,0.88,,,,,,,,,,
Destineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,1.82,3.710000000000001,4.280000000000001,4.360000000000001,,,,,,,
Detn8 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,
Devolver Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.04,,,
DigiCube,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,
Disney Interactive Studios,,,,,,,,,,,,,,,,,,,,1.94,,,2.19,2.77,6.029999999999999,10.579999999999998,16.319999999999997,33.16,55.25,68.54,89.04,102.13000000000001,104.97000000000001,112.06000000000002,116.28000000000002,118.76000000000002,,,
Dorart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,,,,,
DreamCatcher Interactive,,,,,,,,,,,,,,,,,,,,,,0.05,,0.16999999999999998,0.18999999999999997,0.20999999999999996,0.29999999999999993,,0.36999999999999994,0.84,0.95,,,,,,,,
